K,beta,sample_idx,attempt_final,coalescence_T,magnetization,spins,status,elapsed_s
10,0.000,22,1,1,0.080000,"1 -1 -1 1 -1 1 1 1 1 1 1 1 -1 1 -1 -1 1 -1 -1 -1 -1 1 1 1 1 1 -1 1 -1 -1 1 1 -1 -1 1 -1 -1 1 1 -1 -1 -1 1 -1 1 1 1 1 1 1 -1 1 1 1 1 1 -1 1 -1 -1 -1 -1 -1 1 1 1 1 -1 1 1 1 -1 -1 -1 1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 1 -1 -1 1 -1 1 -1 1 1 1 -1 1 1 1 1",OK,0.000000
10,0.000,23,1,1,0.220000,"1 -1 1 -1 -1 1 1 1 1 -1 1 1 -1 1 1 -1 1 1 1 -1 -1 -1 -1 1 -1 1 1 1 1 -1 1 1 1 1 -1 1 -1 1 -1 -1 -1 1 1 1 -1 -1 1 1 1 -1 1 1 1 -1 1 -1 -1 -1 1 -1 -1 -1 1 1 1 1 1 1 -1 1 -1 1 1 -1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 1 -1 -1 1 -1 -1 -1 1 1 1 -1 -1 1",OK,0.000000
10,0.000,13,1,1,-0.040000,"1 -1 -1 1 1 1 -1 -1 1 1 -1 -1 1 -1 -1 1 -1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 -1 1 -1 -1 1 -1 1 -1 -1 1 1 1 1 -1 -1 1 1 1 -1 -1 1 -1 1 1 1 1 1 -1 -1 1 1 1 -1 -1 1 -1 -1 -1 -1 1 -1 -1 1 -1 -1 1 -1 1 -1 1 -1 1 -1 -1 1 1 1 1 -1 1 -1 -1 -1 1 -1 1 -1 1 -1 1 1",OK,0.000000
10,0.000,25,1,1,-0.200000,"1 -1 -1 1 -1 1 -1 -1 -1 1 1 1 1 -1 -1 1 -1 -1 1 -1 -1 -1 -1 1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 -1 -1 -1 1 1 -1 1 -1 1 -1 1 -1 1 -1 1 1 -1 -1 1 -1 -1 1 -1 -1 -1 1 -1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 1 1 -1 -1 -1 1 1 -1 -1 -1 -1 1 1 1 -1 -1 -1 1 -1 1 1 -1",OK,0.000000
10,0.000,26,1,1,0.180000,"-1 1 1 1 -1 1 1 1 1 -1 1 1 1 -1 -1 1 1 1 -1 1 1 1 -1 1 1 1 -1 1 1 1 -1 -1 -1 1 -1 1 -1 1 1 -1 1 -1 1 1 1 1 -1 -1 -1 1 1 1 1 1 1 -1 1 -1 -1 1 -1 1 1 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 1 -1 1 1 -1 -1 1 1 1 1 1 -1 1 -1 1 -1 -1 1 1 1 1 -1 1 1 -1 -1",OK,0.000000
10,0.000,6,1,1,0.140000,"1 -1 1 1 -1 1 1 1 1 1 1 1 1 1 -1 1 -1 1 -1 -1 1 -1 -1 -1 1 1 1 1 1 1 -1 1 -1 1 1 -1 -1 -1 -1 1 1 1 1 -1 1 1 1 -1 -1 1 1 1 -1 -1 1 -1 -1 -1 -1 -1 1 1 1 -1 1 1 -1 1 -1 -1 1 -1 -1 1 -1 -1 -1 1 1 1 1 -1 1 1 -1 1 1 -1 1 1 -1 1 -1 1 1 -1 1 -1 -1 -1",OK,0.000000
10,0.000,1,1,1,0.160000,"1 1 1 -1 -1 1 1 -1 -1 -1 -1 1 -1 1 1 1 1 1 -1 1 -1 1 1 -1 1 1 -1 1 1 -1 1 1 1 -1 1 -1 1 1 -1 -1 -1 -1 1 -1 1 1 1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 1 -1 1 1 1 1 -1 -1 1 1 1 1 -1 -1 1 1 1 1 1 1 -1 1 1 1 1 -1 1 1 -1 1 -1 -1 -1 1 -1 1 1 1 1 1 -1 -1 1",OK,0.000000
10,0.000,29,1,1,-0.020000,"1 -1 -1 -1 -1 1 1 1 -1 -1 1 -1 -1 -1 1 1 -1 1 1 -1 1 1 1 1 1 -1 -1 1 -1 -1 -1 -1 1 1 1 -1 1 -1 -1 -1 1 -1 1 -1 -1 -1 1 1 1 1 -1 -1 1 -1 1 -1 1 -1 1 1 1 -1 1 -1 -1 1 -1 -1 1 -1 -1 1 1 -1 1 -1 1 1 1 -1 -1 1 1 -1 -1 -1 1 1 1 1 -1 -1 1 -1 -1 -1 -1 -1 1 1",OK,0.000000
10,0.000,30,1,1,-0.100000,"1 1 1 1 -1 -1 -1 -1 -1 -1 -1 1 -1 1 -1 -1 1 1 1 1 -1 -1 1 1 -1 -1 -1 -1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 1 -1 -1 1 1 1 1 -1 1 1 -1 -1 -1 1 1 -1 -1 1 1 1 1 -1 -1 1 -1 -1 -1 -1 -1 1 1 -1 1 -1 -1 -1 -1 -1 -1 -1 1 1 -1 1 -1 -1 -1 1 1 -1 1 1 -1 1 1 -1 -1 1 1 -1 1",OK,0.000000
10,0.000,31,1,1,0.200000,"-1 -1 1 -1 1 1 -1 1 1 -1 -1 -1 -1 -1 1 -1 -1 1 -1 1 1 1 1 1 -1 1 1 1 -1 -1 1 -1 1 -1 1 1 1 -1 -1 1 1 1 1 -1 -1 1 1 1 1 1 -1 -1 -1 1 1 1 1 1 1 -1 1 1 1 1 1 -1 -1 -1 1 -1 1 1 1 -1 -1 1 -1 -1 1 -1 -1 1 -1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 -1 -1 -1",OK,0.000000
10,0.000,32,1,1,0.040000,"1 1 1 1 -1 1 -1 -1 1 1 -1 1 1 -1 -1 1 1 -1 1 -1 1 1 1 -1 1 1 -1 1 -1 -1 -1 1 -1 1 -1 -1 1 -1 -1 1 -1 1 1 -1 -1 -1 -1 -1 1 -1 -1 1 -1 1 1 1 1 -1 -1 1 1 1 -1 1 -1 1 -1 -1 1 -1 -1 1 1 1 1 1 -1 1 -1 -1 1 1 1 -1 -1 1 1 -1 1 -1 -1 -1 1 1 -1 1 -1 -1 -1 1",OK,0.000000
10,0.000,33,1,1,-0.060000,"1 -1 -1 -1 1 1 1 -1 1 -1 -1 -1 1 -1 -1 1 -1 -1 -1 1 -1 1 1 1 -1 1 1 -1 1 -1 1 -1 -1 -1 -1 1 1 1 -1 1 1 1 1 -1 -1 -1 1 -1 -1 1 -1 -1 1 1 1 -1 1 1 1 1 -1 -1 1 1 1 -1 1 -1 1 -1 -1 1 1 -1 -1 1 -1 1 1 -1 -1 -1 1 -1 -1 1 -1 1 1 -1 -1 -1 -1 1 -1 -1 1 -1 -1 -1",OK,0.000000
